id,timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
0,790,-0.00,0.39,1.03,1.10,47.91,47.50,BLOCKED_AIRFLOW_SPEED3
1,888,-0.00,0.39,1.03,1.10,90.44,47.50,BLOCKED_AIRFLOW_SPEED3
2,988,-0.01,0.38,1.03,1.10,65.28,47.50,BLOCKED_AIRFLOW_SPEED3
3,1088,-0.00,0.40,1.02,1.10,96.81,47.50,BLOCKED_AIRFLOW_SPEED3
4,1188,0.00,0.40,1.03,1.10,73.58,47.50,BLOCKED_AIRFLOW_SPEED3
5,1288,-0.00,0.40,1.03,1.11,101.16,47.50,BLOCKED_AIRFLOW_SPEED3
6,1388,-0.01,0.40,1.02,1.10,73.13,47.50,BLOCKED_AIRFLOW_SPEED3
7,1488,-0.01,0.39,1.03,1.10,54.27,47.50,BLOCKED_AIRFLOW_SPEED3
8,1588,-0.00,0.38,1.03,1.10,90.29,47.50,BLOCKED_AIRFLOW_SPEED3
9,1688,-0.01,0.38,1.03,1.10,91.65,47.50,BLOCKED_AIRFLOW_SPEED3
10,1788,0.00,0.38,1.03,1.10,56.44,47.50,BLOCKED_AIRFLOW_SPEED3
11,1888,-0.01,0.38,1.03,1.10,48.34,47.50,BLOCKED_AIRFLOW_SPEED3
12,1988,0.01,0.30,1.02,1.06,480.54,47.50,BLOCKED_AIRFLOW_SPEED3
13,2088,0.01,0.23,1.03,1.06,150.53,47.50,BLOCKED_AIRFLOW_SPEED3
14,2188,-0.01,0.32,1.04,1.09,147.57,47.50,BLOCKED_AIRFLOW_SPEED3
15,2288,0.02,0.36,1.03,1.09,266.14,47.50,BLOCKED_AIRFLOW_SPEED3
16,2388,0.04,0.36,1.03,1.09,308.57,47.50,BLOCKED_AIRFLOW_SPEED3
17,2488,0.06,0.35,1.03,1.09,264.65,47.50,BLOCKED_AIRFLOW_SPEED3
18,2588,0.06,0.35,1.03,1.09,276.78,47.50,BLOCKED_AIRFLOW_SPEED3
19,2688,0.06,0.35,1.03,1.09,359.92,47.50,BLOCKED_AIRFLOW_SPEED3
20,2788,0.05,0.33,1.03,1.08,418.65,47.50,BLOCKED_AIRFLOW_SPEED3
21,2888,0.08,0.30,1.03,1.07,1099.99,47.50,BLOCKED_AIRFLOW_SPEED3
22,2988,0.08,0.29,1.03,1.07,1141.45,47.50,BLOCKED_AIRFLOW_SPEED3
23,3088,0.07,0.29,1.03,1.07,1285.77,47.50,BLOCKED_AIRFLOW_SPEED3
24,3188,0.07,0.26,1.03,1.06,1565.58,47.50,BLOCKED_AIRFLOW_SPEED3
25,3288,0.10,0.24,1.01,1.04,993.42,47.50,BLOCKED_AIRFLOW_SPEED3
26,3388,0.06,0.24,1.02,1.05,994.66,47.50,BLOCKED_AIRFLOW_SPEED3
27,3488,0.05,0.26,1.01,1.04,1187.89,47.50,BLOCKED_AIRFLOW_SPEED3
28,3588,-0.00,0.25,1.01,1.04,1948.84,47.50,BLOCKED_AIRFLOW_SPEED3
29,3688,-0.01,0.23,1.01,1.03,1903.46,47.50,BLOCKED_AIRFLOW_SPEED3
30,3788,-0.01,0.25,1.00,1.04,1653.68,47.50,BLOCKED_AIRFLOW_SPEED3
31,3888,-0.03,0.20,1.00,1.02,2069.64,47.50,BLOCKED_AIRFLOW_SPEED3
32,3988,0.05,0.31,1.03,1.07,2275.55,47.50,BLOCKED_AIRFLOW_SPEED3
33,4088,0.04,0.31,1.03,1.07,2058.76,47.50,BLOCKED_AIRFLOW_SPEED3
34,4188,0.06,0.33,1.03,1.08,1980.54,47.50,BLOCKED_AIRFLOW_SPEED3
35,4288,0.07,0.29,1.02,1.07,3635.55,47.50,BLOCKED_AIRFLOW_SPEED3
36,4388,0.05,0.28,1.03,1.07,3051.59,47.50,BLOCKED_AIRFLOW_SPEED3
37,4488,0.09,0.28,1.06,1.10,3705.47,47.50,BLOCKED_AIRFLOW_SPEED3
38,4588,-0.11,0.21,1.02,1.04,3571.66,47.50,BLOCKED_AIRFLOW_SPEED3
39,4688,-0.15,0.30,0.96,1.02,4620.95,47.50,BLOCKED_AIRFLOW_SPEED3
40,4788,-0.07,0.21,1.01,1.04,4207.11,47.50,BLOCKED_AIRFLOW_SPEED3
41,4888,0.05,0.35,1.01,1.07,3969.17,47.50,BLOCKED_AIRFLOW_SPEED3
42,4988,-0.01,0.21,1.01,1.04,6031.68,47.50,BLOCKED_AIRFLOW_SPEED3
43,5088,-0.09,0.27,0.97,1.01,7019.77,47.50,BLOCKED_AIRFLOW_SPEED3
44,5188,-0.03,0.18,1.03,1.04,6094.71,47.50,BLOCKED_AIRFLOW_SPEED3
45,5288,-0.10,0.18,1.03,1.05,5046.84,47.50,BLOCKED_AIRFLOW_SPEED3
46,5388,0.02,0.34,1.01,1.07,5595.70,47.50,BLOCKED_AIRFLOW_SPEED3
47,5488,-0.08,0.25,0.98,1.01,6952.00,47.50,BLOCKED_AIRFLOW_SPEED3
48,5588,-0.06,0.28,0.99,1.03,6996.34,47.50,BLOCKED_AIRFLOW_SPEED3
49,5688,-0.14,0.27,0.98,1.02,7529.03,47.50,BLOCKED_AIRFLOW_SPEED3
50,5788,-0.09,0.26,0.98,1.01,5771.36,47.50,BLOCKED_AIRFLOW_SPEED3
51,5888,0.05,0.22,1.01,1.04,7109.22,47.50,BLOCKED_AIRFLOW_SPEED3
52,5988,0.03,0.19,1.03,1.05,8404.95,47.50,BLOCKED_AIRFLOW_SPEED3
53,6088,0.08,0.18,1.02,1.04,7546.54,47.50,BLOCKED_AIRFLOW_SPEED3
54,6188,-0.23,0.28,0.98,1.05,9935.20,47.50,BLOCKED_AIRFLOW_SPEED3
55,6288,-0.22,0.26,0.99,1.04,7622.42,47.50,BLOCKED_AIRFLOW_SPEED3
56,6388,-0.17,0.20,1.04,1.07,9597.03,47.50,BLOCKED_AIRFLOW_SPEED3
57,6488,-0.20,0.38,1.04,1.13,7464.41,47.50,BLOCKED_AIRFLOW_SPEED3
58,6588,0.15,0.19,1.04,1.07,9720.83,47.50,BLOCKED_AIRFLOW_SPEED3
59,6688,-0.06,0.22,0.95,0.97,9822.38,47.50,BLOCKED_AIRFLOW_SPEED3
