id,timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
0,180,-0.00,0.38,1.02,1.09,87.63,48.38,LOOSE_MOUNT_SPEED2
1,278,-0.00,0.39,1.02,1.10,160.96,48.38,LOOSE_MOUNT_SPEED2
2,378,0.01,0.39,1.03,1.10,40.90,48.38,LOOSE_MOUNT_SPEED2
3,478,-0.00,0.39,1.03,1.10,46.24,48.38,LOOSE_MOUNT_SPEED2
4,578,-0.01,0.39,1.03,1.10,40.33,48.38,LOOSE_MOUNT_SPEED2
5,678,0.00,0.39,1.03,1.10,44.11,48.38,LOOSE_MOUNT_SPEED2
6,778,0.00,0.39,1.02,1.10,52.68,48.38,LOOSE_MOUNT_SPEED2
7,878,0.02,0.40,1.02,1.10,55.52,48.38,LOOSE_MOUNT_SPEED2
8,978,-0.01,0.39,1.03,1.10,56.50,48.38,LOOSE_MOUNT_SPEED2
9,1078,0.00,0.39,1.02,1.09,48.03,48.38,LOOSE_MOUNT_SPEED2
10,1178,-0.01,0.39,1.02,1.09,41.63,48.38,LOOSE_MOUNT_SPEED2
11,1278,-0.01,0.39,1.03,1.10,55.75,48.38,LOOSE_MOUNT_SPEED2
12,1378,-0.01,0.39,1.02,1.10,59.49,48.38,LOOSE_MOUNT_SPEED2
13,1478,-0.25,-0.00,-0.00,0.25,45.09,48.38,LOOSE_MOUNT_SPEED2
14,1578,-0.09,0.59,1.02,1.18,985.41,48.38,LOOSE_MOUNT_SPEED2
15,1678,-0.02,0.58,1.02,1.17,509.69,48.38,LOOSE_MOUNT_SPEED2
16,1778,-0.01,0.52,1.00,1.13,204.50,48.38,LOOSE_MOUNT_SPEED2
17,1878,0.03,0.47,1.00,1.11,266.52,48.38,LOOSE_MOUNT_SPEED2
18,1978,-0.05,0.44,1.03,1.12,399.51,48.38,LOOSE_MOUNT_SPEED2
19,2078,-0.04,0.41,1.02,1.10,225.10,48.38,LOOSE_MOUNT_SPEED2
20,2178,-0.07,0.44,1.04,1.13,204.04,48.38,LOOSE_MOUNT_SPEED2
21,2278,-0.07,0.43,1.02,1.11,444.86,48.38,LOOSE_MOUNT_SPEED2
22,2378,-0.10,0.42,1.04,1.12,503.00,48.38,LOOSE_MOUNT_SPEED2
23,2478,-0.06,0.38,1.02,1.09,366.74,48.38,LOOSE_MOUNT_SPEED2
24,2578,-0.09,0.47,1.05,1.15,450.85,48.38,LOOSE_MOUNT_SPEED2
25,2678,-0.06,0.38,1.03,1.10,641.72,48.38,LOOSE_MOUNT_SPEED2
26,2778,-0.03,0.46,1.05,1.15,340.19,48.38,LOOSE_MOUNT_SPEED2
27,2878,-0.10,0.42,1.05,1.14,594.18,48.38,LOOSE_MOUNT_SPEED2
28,2978,-0.01,0.42,0.99,1.08,418.11,48.38,LOOSE_MOUNT_SPEED2
29,3078,-0.06,0.41,1.06,1.14,725.31,48.38,LOOSE_MOUNT_SPEED2
30,3178,-0.10,0.39,1.10,1.17,672.42,48.38,LOOSE_MOUNT_SPEED2
31,3278,-0.05,0.44,1.03,1.12,602.30,48.38,LOOSE_MOUNT_SPEED2
32,3378,-0.03,0.42,1.03,1.12,627.82,48.38,LOOSE_MOUNT_SPEED2
33,3478,-0.03,-0.00,-0.00,0.03,741.41,48.38,LOOSE_MOUNT_SPEED2
34,3578,-0.06,0.41,1.09,1.17,854.54,48.38,LOOSE_MOUNT_SPEED2
35,3678,-0.04,0.41,-0.00,0.41,1086.51,48.38,LOOSE_MOUNT_SPEED2
36,3778,-0.00,0.46,0.97,1.07,1208.44,48.38,LOOSE_MOUNT_SPEED2
37,3878,-0.05,0.41,1.04,1.12,1175.68,48.38,LOOSE_MOUNT_SPEED2
38,3978,0.02,0.42,1.06,1.14,1465.02,48.38,LOOSE_MOUNT_SPEED2
39,4078,-0.05,0.36,1.00,1.06,1192.78,48.38,LOOSE_MOUNT_SPEED2
40,4178,-0.01,0.49,1.04,1.15,1891.18,48.38,LOOSE_MOUNT_SPEED2
41,4278,-0.08,0.40,1.10,1.18,1519.17,48.38,LOOSE_MOUNT_SPEED2
42,4378,0.02,0.49,0.99,1.11,1872.20,48.38,LOOSE_MOUNT_SPEED2
43,4478,-0.07,0.35,1.09,1.15,1666.57,48.38,LOOSE_MOUNT_SPEED2
44,4578,0.08,0.49,1.00,1.11,2067.05,48.38,LOOSE_MOUNT_SPEED2
45,4678,0.04,0.41,0.96,1.04,1954.55,48.38,LOOSE_MOUNT_SPEED2
46,4778,-0.14,0.40,1.23,1.30,2092.20,48.38,LOOSE_MOUNT_SPEED2
47,4878,0.07,0.43,0.92,1.02,2566.29,48.38,LOOSE_MOUNT_SPEED2
48,4978,-0.08,0.23,1.15,1.17,2283.75,48.38,LOOSE_MOUNT_SPEED2
49,5078,-0.12,0.21,1.12,1.15,2133.32,48.38,LOOSE_MOUNT_SPEED2
50,5178,-0.01,0.12,1.05,1.06,2290.28,48.38,LOOSE_MOUNT_SPEED2
51,5278,0.02,0.19,0.95,0.97,2851.15,48.38,LOOSE_MOUNT_SPEED2
52,5378,-0.03,0.22,0.89,0.92,2668.74,48.38,LOOSE_MOUNT_SPEED2
53,5478,0.04,0.27,0.88,0.92,2911.28,48.38,LOOSE_MOUNT_SPEED2
54,5578,0.02,0.27,0.88,0.92,2696.60,48.38,LOOSE_MOUNT_SPEED2
55,5678,-0.03,0.24,0.91,0.94,3190.13,48.38,LOOSE_MOUNT_SPEED2
56,5778,-0.02,0.21,0.99,1.02,3117.85,48.38,LOOSE_MOUNT_SPEED2
57,5878,-0.10,0.20,1.09,1.12,3273.15,48.38,LOOSE_MOUNT_SPEED2
58,5978,-0.08,0.25,1.09,1.12,2969.36,48.38,LOOSE_MOUNT_SPEED2
59,6078,-0.04,0.37,1.12,1.18,3975.10,48.38,LOOSE_MOUNT_SPEED2
60,6178,0.10,0.38,0.97,1.05,3998.42,48.38,LOOSE_MOUNT_SPEED2
61,6278,-0.06,0.25,0.96,0.99,4184.33,48.38,LOOSE_MOUNT_SPEED2
62,6378,-0.16,0.31,1.09,1.15,3564.87,48.38,LOOSE_MOUNT_SPEED2
63,6478,-0.04,0.39,1.06,1.13,4183.68,48.38,LOOSE_MOUNT_SPEED2
64,6578,-0.14,0.22,0.95,0.98,4045.50,48.38,LOOSE_MOUNT_SPEED2
65,6678,-0.15,0.29,1.10,1.15,4443.15,48.38,LOOSE_MOUNT_SPEED2
