id,timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
0,790,-0.00,0.39,1.03,1.10,38.49,50.62,LOOSE_MOUNT_SPEED3
1,888,0.00,0.39,1.03,1.11,47.86,50.62,LOOSE_MOUNT_SPEED3
2,988,-0.01,0.39,1.03,1.10,44.74,50.62,LOOSE_MOUNT_SPEED3
3,1088,-0.00,0.39,1.03,1.10,69.58,50.62,LOOSE_MOUNT_SPEED3
4,1188,-0.01,0.39,1.02,1.10,64.31,50.62,LOOSE_MOUNT_SPEED3
5,1288,-0.00,0.38,1.03,1.10,44.41,50.62,LOOSE_MOUNT_SPEED3
6,1388,0.00,0.41,1.03,1.10,58.35,50.62,LOOSE_MOUNT_SPEED3
7,1488,0.00,0.39,-0.00,0.39,53.07,50.62,LOOSE_MOUNT_SPEED3
8,1588,-0.00,0.38,1.03,1.10,68.57,50.62,LOOSE_MOUNT_SPEED3
9,1688,-0.00,-0.00,-0.00,0.00,31.21,50.62,LOOSE_MOUNT_SPEED3
10,1788,0.00,0.40,1.03,1.11,35.04,50.62,LOOSE_MOUNT_SPEED3
11,1888,-0.00,0.40,1.02,1.10,620.46,50.62,LOOSE_MOUNT_SPEED3
12,1988,-0.02,0.55,1.08,1.21,592.95,50.62,LOOSE_MOUNT_SPEED3
13,2088,-0.07,0.57,1.05,1.20,162.78,50.62,LOOSE_MOUNT_SPEED3
14,2188,-0.05,0.56,1.03,1.17,353.83,50.62,LOOSE_MOUNT_SPEED3
15,2288,-0.06,0.53,1.03,1.16,516.13,50.62,LOOSE_MOUNT_SPEED3
16,2388,-0.08,0.57,1.05,1.20,251.38,50.62,LOOSE_MOUNT_SPEED3
17,2488,-0.04,0.55,1.03,1.17,225.63,50.62,LOOSE_MOUNT_SPEED3
18,2588,-0.05,0.63,1.04,1.22,425.52,50.62,LOOSE_MOUNT_SPEED3
19,2688,-0.00,-0.00,-0.00,0.00,590.31,50.62,LOOSE_MOUNT_SPEED3
20,2788,-0.02,0.62,1.06,1.23,390.21,50.62,LOOSE_MOUNT_SPEED3
21,2888,0.01,0.51,0.97,1.10,542.12,50.62,LOOSE_MOUNT_SPEED3
22,2988,-0.02,0.73,1.08,1.30,507.43,50.62,LOOSE_MOUNT_SPEED3
23,3088,0.01,0.41,1.00,1.08,540.83,50.62,LOOSE_MOUNT_SPEED3
24,3188,-0.05,0.60,1.14,1.29,nan,50.62,LOOSE_MOUNT_SPEED3
25,3288,0.00,0.59,0.96,1.13,690.66,50.62,LOOSE_MOUNT_SPEED3
26,3388,-0.00,0.56,1.14,1.27,414.11,50.62,LOOSE_MOUNT_SPEED3
27,3488,0.11,0.57,0.93,1.10,859.27,50.62,LOOSE_MOUNT_SPEED3
28,3588,0.06,0.56,1.06,1.20,809.17,50.62,LOOSE_MOUNT_SPEED3
29,3688,-0.03,0.53,1.10,1.22,948.79,50.62,LOOSE_MOUNT_SPEED3
30,3788,-0.05,0.61,1.21,1.36,1108.23,50.62,LOOSE_MOUNT_SPEED3
31,3888,-0.04,0.65,1.23,1.39,1005.39,50.62,LOOSE_MOUNT_SPEED3
32,3988,0.12,0.50,1.06,1.18,1124.68,50.62,LOOSE_MOUNT_SPEED3
33,4088,0.10,0.57,1.03,1.18,1831.81,50.62,LOOSE_MOUNT_SPEED3
34,4188,0.28,0.29,0.61,0.73,1968.60,50.62,LOOSE_MOUNT_SPEED3
35,4288,0.22,0.92,-0.00,0.94,1748.43,50.62,LOOSE_MOUNT_SPEED3
36,4388,-0.01,0.73,1.15,1.36,1451.22,50.62,LOOSE_MOUNT_SPEED3
37,4488,0.08,0.47,1.04,1.15,1492.58,50.62,LOOSE_MOUNT_SPEED3
38,4588,0.04,0.55,1.01,1.15,2151.03,50.62,LOOSE_MOUNT_SPEED3
39,4688,-0.00,-0.00,-0.00,0.00,1984.52,50.62,LOOSE_MOUNT_SPEED3
40,4788,0.02,0.65,0.95,1.15,2049.66,50.62,LOOSE_MOUNT_SPEED3
41,4888,-0.10,0.54,1.08,1.21,2799.82,50.62,LOOSE_MOUNT_SPEED3
42,4988,0.03,0.49,1.11,1.21,3335.66,50.62,LOOSE_MOUNT_SPEED3
43,5088,0.15,0.56,0.87,1.04,3247.17,50.62,LOOSE_MOUNT_SPEED3
44,5188,-0.02,0.58,1.01,1.17,3104.21,50.62,LOOSE_MOUNT_SPEED3
45,5288,-0.17,0.52,1.24,1.35,3120.93,50.62,LOOSE_MOUNT_SPEED3
46,5388,-0.04,0.60,1.08,1.23,2627.50,50.62,LOOSE_MOUNT_SPEED3
47,5488,-0.05,0.44,1.12,1.21,4308.57,50.62,LOOSE_MOUNT_SPEED3
48,5588,-0.08,0.43,-0.00,0.44,3197.71,50.62,LOOSE_MOUNT_SPEED3
49,5688,-0.03,0.51,1.12,1.23,3247.90,50.62,LOOSE_MOUNT_SPEED3
50,5788,0.03,0.45,1.05,1.14,3287.12,50.62,LOOSE_MOUNT_SPEED3
51,5888,0.11,0.65,0.94,1.15,3887.70,50.62,LOOSE_MOUNT_SPEED3
52,5988,0.17,0.50,-0.00,0.53,4214.62,50.62,LOOSE_MOUNT_SPEED3
53,6088,0.04,0.55,1.17,1.29,3970.39,50.62,LOOSE_MOUNT_SPEED3
54,6188,0.23,0.48,1.01,1.14,4721.12,50.62,LOOSE_MOUNT_SPEED3
55,6288,0.15,0.68,1.02,1.24,4630.40,50.62,LOOSE_MOUNT_SPEED3
56,6388,0.03,0.56,1.22,1.35,5095.17,50.62,LOOSE_MOUNT_SPEED3
57,6488,0.20,0.56,0.98,1.15,5366.14,50.62,LOOSE_MOUNT_SPEED3
58,6588,-0.07,0.60,1.20,1.34,5018.11,50.62,LOOSE_MOUNT_SPEED3
59,6688,0.19,0.55,1.02,1.17,5811.61,50.62,LOOSE_MOUNT_SPEED3
60,6788,0.14,0.28,1.06,1.10,6019.57,50.62,LOOSE_MOUNT_SPEED3
61,6888,0.19,0.43,0.97,1.08,5843.00,50.62,LOOSE_MOUNT_SPEED3
62,6988,0.19,0.52,1.08,1.22,5200.87,50.62,LOOSE_MOUNT_SPEED3
63,7088,0.11,0.42,1.09,1.18,6060.36,50.62,LOOSE_MOUNT_SPEED3
64,7188,0.07,0.43,1.10,1.19,7050.96,50.62,LOOSE_MOUNT_SPEED3
65,7288,0.06,0.66,-0.00,0.66,6568.26,50.62,LOOSE_MOUNT_SPEED3
66,7388,0.12,0.47,1.07,1.18,7517.23,50.62,LOOSE_MOUNT_SPEED3
67,7488,0.13,0.49,1.10,1.21,7340.72,50.62,LOOSE_MOUNT_SPEED3
68,7588,0.12,-0.00,-0.00,0.12,7972.87,50.62,LOOSE_MOUNT_SPEED3
69,7688,0.12,0.54,1.09,1.22,8243.00,50.62,LOOSE_MOUNT_SPEED3
70,7788,0.18,0.40,1.06,1.14,8464.83,50.62,LOOSE_MOUNT_SPEED3
71,7888,0.13,0.15,0.99,1.00,8561.48,50.62,LOOSE_MOUNT_SPEED3
72,7988,0.10,0.13,0.94,0.95,8870.87,50.62,LOOSE_MOUNT_SPEED3
73,8088,0.04,0.63,-0.00,0.63,9046.94,50.62,LOOSE_MOUNT_SPEED3
74,8188,0.14,0.54,1.12,1.26,9038.42,50.62,LOOSE_MOUNT_SPEED3
75,8288,0.28,0.25,1.02,1.09,9221.27,50.62,LOOSE_MOUNT_SPEED3
76,8388,0.02,0.40,0.98,1.06,9809.98,50.62,LOOSE_MOUNT_SPEED3
77,8488,0.15,0.52,1.12,1.24,9505.99,50.62,LOOSE_MOUNT_SPEED3
78,8588,0.10,0.10,0.97,0.98,9777.32,50.62,LOOSE_MOUNT_SPEED3
79,8688,0.20,0.48,1.06,1.18,11018.34,50.62,LOOSE_MOUNT_SPEED3
80,8788,0.19,0.19,1.03,1.06,9787.99,50.62,LOOSE_MOUNT_SPEED3
81,8888,0.03,0.27,-0.00,0.28,10309.14,50.62,LOOSE_MOUNT_SPEED3
82,8988,0.11,0.11,1.04,1.05,10469.41,50.62,LOOSE_MOUNT_SPEED3
83,9088,0.08,0.26,0.98,1.02,10012.84,50.62,LOOSE_MOUNT_SPEED3
84,9188,-0.04,0.09,0.99,0.99,10529.25,50.62,LOOSE_MOUNT_SPEED3
85,9288,0.21,0.42,1.10,1.20,11112.82,50.62,LOOSE_MOUNT_SPEED3
86,9388,0.08,0.20,0.96,0.98,11133.95,50.62,LOOSE_MOUNT_SPEED3
87,9488,0.08,0.33,1.08,1.13,10941.45,50.62,LOOSE_MOUNT_SPEED3
88,9588,0.04,0.29,0.94,0.99,11373.09,50.62,LOOSE_MOUNT_SPEED3
89,9688,0.03,0.09,0.98,0.98,11238.02,50.62,LOOSE_MOUNT_SPEED3
90,9788,0.13,0.21,1.11,1.13,10515.40,50.62,LOOSE_MOUNT_SPEED3
91,9888,0.04,0.32,0.92,0.98,10973.11,50.62,LOOSE_MOUNT_SPEED3
92,9988,-0.09,0.04,1.08,1.08,11221.59,50.62,LOOSE_MOUNT_SPEED3
93,10088,0.06,0.21,1.05,1.07,10942.82,50.62,LOOSE_MOUNT_SPEED3
94,10188,-0.10,0.32,-0.00,0.33,11101.02,50.62,LOOSE_MOUNT_SPEED3
95,10288,-0.18,0.10,1.10,1.12,11558.42,50.62,LOOSE_MOUNT_SPEED3
96,10388,-0.05,0.24,1.06,1.09,11271.58,50.62,LOOSE_MOUNT_SPEED3
97,10488,-0.18,0.37,0.98,1.06,10843.36,50.62,LOOSE_MOUNT_SPEED3
98,10588,-0.03,0.15,0.94,0.95,11138.12,50.62,LOOSE_MOUNT_SPEED3
99,10688,-0.14,0.07,1.10,1.11,11817.46,50.62,LOOSE_MOUNT_SPEED3
100,10788,0.14,0.23,1.02,1.05,11081.25,50.62,LOOSE_MOUNT_SPEED3
101,11559,-0.13,0.31,0.93,0.99,12309.53,50.88,LOOSE_MOUNT_SPEED3
102,11658,-0.12,0.43,1.10,1.18,11633.89,50.88,LOOSE_MOUNT_SPEED3
103,11758,-0.07,0.22,1.03,1.06,12009.15,50.88,LOOSE_MOUNT_SPEED3
104,11858,-0.07,0.31,0.99,1.04,12497.14,50.88,LOOSE_MOUNT_SPEED3
105,11958,-0.15,0.43,1.09,1.18,11785.09,50.88,LOOSE_MOUNT_SPEED3
106,12058,-0.23,0.57,1.13,1.29,12130.79,50.88,LOOSE_MOUNT_SPEED3
107,12158,0.00,0.28,1.08,1.12,12107.29,50.88,LOOSE_MOUNT_SPEED3
108,12258,0.02,0.10,0.90,0.91,12003.72,50.88,LOOSE_MOUNT_SPEED3
109,12358,0.04,0.32,1.06,1.11,11986.94,50.88,LOOSE_MOUNT_SPEED3
110,12458,-0.21,0.55,1.09,1.24,12277.81,50.88,LOOSE_MOUNT_SPEED3
111,12558,0.07,0.47,1.09,1.19,12300.89,50.88,LOOSE_MOUNT_SPEED3
112,12658,0.06,-0.02,0.99,0.99,12589.38,50.88,LOOSE_MOUNT_SPEED3
113,12758,0.08,0.12,0.93,0.94,12025.58,50.88,LOOSE_MOUNT_SPEED3
114,12858,0.20,0.28,0.98,1.04,11833.84,50.88,LOOSE_MOUNT_SPEED3
115,12958,-0.05,0.56,1.04,1.18,11467.61,50.88,LOOSE_MOUNT_SPEED3
116,13058,0.09,0.16,1.01,1.03,11682.87,50.88,LOOSE_MOUNT_SPEED3
117,13158,0.03,0.01,0.96,0.96,12342.38,50.88,LOOSE_MOUNT_SPEED3
118,13258,0.21,0.17,1.03,1.07,12016.48,50.88,LOOSE_MOUNT_SPEED3
119,13358,0.20,0.31,0.87,0.95,12000.16,50.88,LOOSE_MOUNT_SPEED3
120,13458,0.07,0.37,0.99,1.06,12589.44,50.88,LOOSE_MOUNT_SPEED3
121,13558,0.06,0.17,1.02,1.04,12730.74,50.88,LOOSE_MOUNT_SPEED3
122,13658,-0.08,0.24,1.08,1.11,13212.72,50.88,LOOSE_MOUNT_SPEED3
123,13758,0.23,0.19,1.04,1.08,13264.59,50.88,LOOSE_MOUNT_SPEED3
124,13858,0.02,0.26,0.88,0.92,12692.99,50.88,LOOSE_MOUNT_SPEED3
125,13958,0.01,0.47,1.07,1.17,13177.62,50.88,LOOSE_MOUNT_SPEED3
126,14058,0.09,0.03,0.99,1.00,11766.24,50.88,LOOSE_MOUNT_SPEED3
127,14158,-0.04,0.14,0.99,1.00,12363.01,50.88,LOOSE_MOUNT_SPEED3
128,14258,0.32,0.15,0.98,1.05,12297.03,50.88,LOOSE_MOUNT_SPEED3
129,14358,0.00,0.35,0.25,0.43,11791.05,50.88,LOOSE_MOUNT_SPEED3
130,14458,0.13,0.31,1.01,1.06,12473.05,50.88,LOOSE_MOUNT_SPEED3
131,14558,0.07,0.16,1.03,1.04,12312.30,50.88,LOOSE_MOUNT_SPEED3
132,14658,-0.08,0.24,1.06,1.09,11538.20,50.88,LOOSE_MOUNT_SPEED3
133,14758,0.29,0.08,0.93,0.98,12483.59,50.88,LOOSE_MOUNT_SPEED3
134,14858,-0.02,0.34,0.92,0.98,12255.04,50.88,LOOSE_MOUNT_SPEED3
135,14958,0.13,0.27,0.99,1.04,12958.12,50.88,LOOSE_MOUNT_SPEED3
136,15058,0.03,0.69,1.08,1.28,12907.54,50.88,LOOSE_MOUNT_SPEED3
137,15158,-0.05,0.55,1.16,1.29,12097.94,50.88,LOOSE_MOUNT_SPEED3
138,15258,-0.02,0.32,1.09,1.14,12261.26,50.88,LOOSE_MOUNT_SPEED3
139,15358,-0.04,0.69,0.93,1.16,12498.10,50.88,LOOSE_MOUNT_SPEED3
140,15458,0.25,0.78,0.94,1.25,13062.91,50.88,LOOSE_MOUNT_SPEED3
141,15558,0.01,0.76,1.08,1.32,12009.48,50.88,LOOSE_MOUNT_SPEED3
142,15658,-0.00,0.54,1.14,1.26,12153.63,50.88,LOOSE_MOUNT_SPEED3
143,15758,-0.02,0.38,1.09,1.15,12521.54,50.88,LOOSE_MOUNT_SPEED3
144,15858,-0.05,0.78,0.97,1.24,12322.78,50.88,LOOSE_MOUNT_SPEED3
145,15958,0.21,0.85,0.97,1.30,12866.11,50.88,LOOSE_MOUNT_SPEED3
146,16058,-0.05,0.68,1.09,1.28,12223.99,50.88,LOOSE_MOUNT_SPEED3
147,16158,0.05,0.47,-0.00,0.47,12358.50,50.88,LOOSE_MOUNT_SPEED3
148,16258,-0.00,-0.00,-0.00,0.00,12819.63,50.88,LOOSE_MOUNT_SPEED3
149,16358,-0.12,0.87,1.01,1.34,12729.71,50.88,LOOSE_MOUNT_SPEED3
150,16458,0.11,0.85,0.99,1.31,12459.60,50.88,LOOSE_MOUNT_SPEED3
151,16558,-0.07,0.57,1.08,1.23,12041.77,50.88,LOOSE_MOUNT_SPEED3
152,16658,0.11,0.42,1.06,1.14,11760.44,50.88,LOOSE_MOUNT_SPEED3
153,16758,0.04,0.43,1.03,1.12,12640.56,50.88,LOOSE_MOUNT_SPEED3
154,16858,-0.18,0.89,1.06,1.39,12949.45,50.88,LOOSE_MOUNT_SPEED3
155,16958,0.00,0.84,1.03,1.33,12690.48,50.88,LOOSE_MOUNT_SPEED3
156,17058,-0.10,0.47,1.07,1.17,12393.55,50.88,LOOSE_MOUNT_SPEED3
157,17158,0.13,0.41,0.25,0.49,13208.16,50.88,LOOSE_MOUNT_SPEED3
158,17258,0.10,0.41,0.99,1.08,12761.11,50.88,LOOSE_MOUNT_SPEED3
159,17358,-0.22,0.86,1.08,1.40,12291.36,50.88,LOOSE_MOUNT_SPEED3
160,17458,-0.08,0.84,1.08,1.37,12177.98,50.88,LOOSE_MOUNT_SPEED3
161,17558,-0.13,-0.00,-0.00,0.13,11869.79,50.88,LOOSE_MOUNT_SPEED3
162,17658,0.10,0.36,0.98,1.05,12163.77,50.88,LOOSE_MOUNT_SPEED3
163,17758,0.19,0.37,0.95,1.03,12486.26,50.88,LOOSE_MOUNT_SPEED3
164,17858,-0.24,0.78,1.07,1.35,12738.52,50.88,LOOSE_MOUNT_SPEED3
165,17958,-0.11,0.81,1.06,1.34,14174.23,50.88,LOOSE_MOUNT_SPEED3
166,18058,-0.17,0.42,1.05,1.15,12842.35,50.88,LOOSE_MOUNT_SPEED3
167,18158,0.04,0.34,0.98,1.04,12447.08,50.88,LOOSE_MOUNT_SPEED3
168,18258,0.20,0.33,0.92,1.00,12615.64,50.88,LOOSE_MOUNT_SPEED3
169,18358,-0.24,0.70,1.05,1.28,13655.29,50.88,LOOSE_MOUNT_SPEED3
170,18458,-0.15,0.79,1.07,1.34,13745.65,50.88,LOOSE_MOUNT_SPEED3
171,18558,-0.20,0.44,1.06,1.16,13339.09,50.88,LOOSE_MOUNT_SPEED3
172,18658,-0.06,0.35,0.97,1.04,13825.41,50.88,LOOSE_MOUNT_SPEED3
173,18758,0.24,0.32,0.95,1.03,13427.61,50.88,LOOSE_MOUNT_SPEED3
174,18858,-0.18,0.59,1.01,1.18,12977.93,50.88,LOOSE_MOUNT_SPEED3
175,18958,-0.11,0.48,1.12,1.22,13363.17,50.88,LOOSE_MOUNT_SPEED3
176,19058,-0.06,0.31,1.05,1.10,12621.95,50.88,LOOSE_MOUNT_SPEED3
177,19158,-0.02,0.52,0.94,1.07,11857.42,50.88,LOOSE_MOUNT_SPEED3
178,19258,0.06,0.37,0.98,1.05,11878.43,50.88,LOOSE_MOUNT_SPEED3
179,19358,-0.28,0.42,-0.00,0.50,12207.68,50.88,LOOSE_MOUNT_SPEED3
180,19458,-0.22,-0.00,-0.00,0.22,13427.56,50.88,LOOSE_MOUNT_SPEED3
181,19558,-0.09,0.31,1.07,1.12,12971.98,50.88,LOOSE_MOUNT_SPEED3
182,19658,-0.01,0.49,0.94,1.06,13822.00,50.88,LOOSE_MOUNT_SPEED3
183,19758,0.08,0.41,0.99,1.08,13503.25,50.88,LOOSE_MOUNT_SPEED3
184,19858,-0.24,0.40,0.92,1.03,13732.17,50.88,LOOSE_MOUNT_SPEED3
185,19958,-0.16,0.52,1.12,1.24,13245.49,50.88,LOOSE_MOUNT_SPEED3
186,20058,-0.10,0.31,1.10,1.14,12589.71,50.88,LOOSE_MOUNT_SPEED3
187,20158,-0.00,0.43,0.93,1.02,12638.54,50.88,LOOSE_MOUNT_SPEED3
188,20258,0.06,0.43,1.00,1.09,12180.95,50.88,LOOSE_MOUNT_SPEED3
189,20358,-0.24,0.38,1.01,1.11,12367.56,50.88,LOOSE_MOUNT_SPEED3
190,20458,0.03,0.42,1.06,1.14,13146.24,50.88,LOOSE_MOUNT_SPEED3
191,20558,0.16,0.48,1.04,1.16,12808.37,50.88,LOOSE_MOUNT_SPEED3
192,20658,0.06,0.77,1.03,1.29,12205.85,50.88,LOOSE_MOUNT_SPEED3
193,20758,0.10,0.62,1.09,1.26,12138.34,50.88,LOOSE_MOUNT_SPEED3
194,20858,-0.29,0.40,1.01,1.12,13192.89,50.88,LOOSE_MOUNT_SPEED3
195,21629,0.04,0.41,1.07,1.15,12411.02,50.44,LOOSE_MOUNT_SPEED3
196,21728,-0.11,0.40,1.07,1.15,12469.39,50.44,LOOSE_MOUNT_SPEED3
197,21828,-0.04,0.41,0.98,1.06,12299.65,50.44,LOOSE_MOUNT_SPEED3
198,21928,0.28,0.40,1.00,1.11,12298.10,50.44,LOOSE_MOUNT_SPEED3
199,22028,0.13,0.70,1.06,1.27,12204.96,50.44,LOOSE_MOUNT_SPEED3
200,22128,0.10,0.82,1.15,1.41,12271.69,50.44,LOOSE_MOUNT_SPEED3
201,22228,-0.01,0.30,0.98,1.03,13240.69,50.44,LOOSE_MOUNT_SPEED3
202,22328,0.10,0.27,0.88,0.93,12823.63,50.44,LOOSE_MOUNT_SPEED3
203,22428,0.22,0.34,0.95,1.03,13307.71,50.44,LOOSE_MOUNT_SPEED3
204,22528,0.02,0.60,1.18,1.33,11655.72,50.44,LOOSE_MOUNT_SPEED3
205,22628,0.26,0.50,1.14,1.27,12776.25,50.44,LOOSE_MOUNT_SPEED3
206,22728,-0.06,0.34,1.02,1.08,12594.39,50.44,LOOSE_MOUNT_SPEED3
207,22828,0.09,0.29,0.89,0.94,13641.46,50.44,LOOSE_MOUNT_SPEED3
208,22928,0.22,0.39,0.96,1.06,13330.88,50.44,LOOSE_MOUNT_SPEED3
209,23028,0.06,0.70,1.18,1.37,13317.05,50.44,LOOSE_MOUNT_SPEED3
210,23128,0.24,0.59,1.18,1.34,12445.59,50.44,LOOSE_MOUNT_SPEED3
211,23228,-0.02,0.25,0.88,0.92,13427.67,50.44,LOOSE_MOUNT_SPEED3
212,23328,0.15,0.19,0.87,0.90,13254.36,50.44,LOOSE_MOUNT_SPEED3
213,23428,-0.02,0.20,1.03,1.05,12589.42,50.44,LOOSE_MOUNT_SPEED3
214,23528,-0.03,0.37,1.22,1.27,13035.76,50.44,LOOSE_MOUNT_SPEED3
215,23628,0.37,0.30,1.08,1.18,13129.40,50.44,LOOSE_MOUNT_SPEED3
216,23728,-0.05,0.27,0.93,0.97,12724.36,50.44,LOOSE_MOUNT_SPEED3
217,23828,0.16,0.23,0.88,0.92,13216.67,50.44,LOOSE_MOUNT_SPEED3
218,23928,0.05,0.35,1.05,1.11,12971.61,50.44,LOOSE_MOUNT_SPEED3
219,24028,-0.05,0.12,1.09,1.10,13135.00,50.44,LOOSE_MOUNT_SPEED3
220,24128,0.22,0.19,0.99,1.03,13529.18,50.44,LOOSE_MOUNT_SPEED3
221,24228,0.01,0.29,0.88,0.92,12814.67,50.44,LOOSE_MOUNT_SPEED3
222,24328,0.11,0.13,0.89,0.91,13939.26,50.44,LOOSE_MOUNT_SPEED3
223,24428,-0.17,0.06,1.04,1.06,12435.30,50.44,LOOSE_MOUNT_SPEED3
224,24528,-0.00,0.15,1.13,1.14,13655.48,50.44,LOOSE_MOUNT_SPEED3
225,24628,0.32,0.19,1.01,1.08,14009.03,50.44,LOOSE_MOUNT_SPEED3
226,24728,0.04,0.26,0.86,0.90,14516.03,50.44,LOOSE_MOUNT_SPEED3
227,24828,0.10,0.14,0.86,0.88,15354.44,50.44,LOOSE_MOUNT_SPEED3
228,24928,-0.22,-0.10,1.02,1.05,14143.62,50.44,LOOSE_MOUNT_SPEED3
229,25028,-0.05,0.04,1.05,1.05,12863.32,50.44,LOOSE_MOUNT_SPEED3
230,25128,0.14,0.24,0.95,0.98,12964.92,50.44,LOOSE_MOUNT_SPEED3
231,25228,-0.04,0.44,0.92,1.02,12506.74,50.44,LOOSE_MOUNT_SPEED3
232,25328,0.01,0.14,0.97,0.98,12305.49,50.44,LOOSE_MOUNT_SPEED3
233,25428,-0.20,-0.03,1.02,1.04,12073.40,50.44,LOOSE_MOUNT_SPEED3
234,25528,-0.01,0.09,1.10,1.11,13610.45,50.44,LOOSE_MOUNT_SPEED3
235,25628,-0.09,0.43,1.07,1.16,12684.51,50.44,LOOSE_MOUNT_SPEED3
236,25728,-0.17,0.68,1.08,1.28,12333.11,50.44,LOOSE_MOUNT_SPEED3
237,25828,-0.08,0.28,1.09,1.13,12394.11,50.44,LOOSE_MOUNT_SPEED3
238,25928,-0.29,-0.05,1.03,1.07,10709.94,50.44,LOOSE_MOUNT_SPEED3
239,26028,-0.04,0.06,1.03,1.04,11571.88,50.44,LOOSE_MOUNT_SPEED3
240,26128,0.09,0.27,1.00,1.04,11443.24,50.44,LOOSE_MOUNT_SPEED3
