id,timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
0,790,0.00,0.29,1.00,1.04,1417.25,33.25,LOOSE_MOUNT_SPEED1
1,888,-0.09,0.33,0.99,1.04,1485.02,33.25,LOOSE_MOUNT_SPEED1
2,988,0.11,0.37,1.00,1.08,1195.15,33.25,LOOSE_MOUNT_SPEED1
3,1087,0.38,-1.96,-0.52,2.06,1327.25,33.25,LOOSE_MOUNT_SPEED1
4,1188,0.09,0.18,1.01,1.03,2039.64,33.25,LOOSE_MOUNT_SPEED1
5,1287,0.38,-1.96,-0.52,2.06,1464.05,33.25,LOOSE_MOUNT_SPEED1
6,1388,0.07,0.39,1.08,1.15,1120.90,33.25,LOOSE_MOUNT_SPEED1
7,1487,0.38,-1.96,-0.52,2.06,1602.59,33.25,LOOSE_MOUNT_SPEED1
8,1588,-0.05,0.26,1.06,1.09,1336.88,33.25,LOOSE_MOUNT_SPEED1
9,1688,0.14,0.31,0.97,1.03,1472.89,33.25,LOOSE_MOUNT_SPEED1
10,1788,0.21,0.29,1.02,1.08,1751.47,33.25,LOOSE_MOUNT_SPEED1
11,1887,0.38,-1.96,-0.52,2.06,1293.74,33.25,LOOSE_MOUNT_SPEED1
12,1988,0.13,0.19,0.97,1.00,1721.77,33.25,LOOSE_MOUNT_SPEED1
13,2087,0.38,-1.96,-0.52,2.06,1315.73,33.25,LOOSE_MOUNT_SPEED1
14,2188,0.12,0.36,1.05,1.11,1319.68,33.25,LOOSE_MOUNT_SPEED1
15,2287,0.38,-1.96,-0.52,2.06,1764.85,33.25,LOOSE_MOUNT_SPEED1
16,2388,-0.01,0.28,1.04,1.07,1370.28,33.25,LOOSE_MOUNT_SPEED1
17,2487,0.38,-1.96,-0.52,2.06,1425.09,33.25,LOOSE_MOUNT_SPEED1
18,2588,0.12,0.29,1.06,1.11,1574.42,33.25,LOOSE_MOUNT_SPEED1
19,2687,0.38,-1.96,-0.52,2.06,1207.17,33.25,LOOSE_MOUNT_SPEED1
20,2788,0.12,0.22,0.99,1.02,1057.39,33.25,LOOSE_MOUNT_SPEED1
21,2887,0.38,-1.96,-0.52,2.06,1548.63,33.25,LOOSE_MOUNT_SPEED1
22,2988,0.17,0.38,1.00,1.08,nan,33.25,LOOSE_MOUNT_SPEED1
23,3087,0.38,-1.96,-0.52,2.06,1650.75,33.25,LOOSE_MOUNT_SPEED1
24,3188,-0.00,0.28,1.00,1.04,1401.85,33.25,LOOSE_MOUNT_SPEED1
25,3288,-0.05,0.36,1.07,1.13,1037.33,33.25,LOOSE_MOUNT_SPEED1
26,3388,-0.03,0.32,1.10,1.14,1535.16,33.25,LOOSE_MOUNT_SPEED1
27,3488,-0.02,0.25,1.00,1.03,1388.52,33.25,LOOSE_MOUNT_SPEED1
28,3588,-0.05,0.32,1.02,1.07,1626.63,33.25,LOOSE_MOUNT_SPEED1
29,3688,0.09,0.30,0.97,1.01,1438.42,33.25,LOOSE_MOUNT_SPEED1
30,3788,-0.02,0.44,1.01,1.11,1376.55,33.25,LOOSE_MOUNT_SPEED1
31,3888,-0.10,0.32,1.08,1.13,1623.34,33.25,LOOSE_MOUNT_SPEED1
32,3988,-0.01,0.34,1.02,1.07,1189.71,33.25,LOOSE_MOUNT_SPEED1
33,4088,0.09,0.46,1.03,1.14,1569.21,33.25,LOOSE_MOUNT_SPEED1
34,4188,-0.04,0.40,1.07,1.15,1378.56,33.25,LOOSE_MOUNT_SPEED1
35,4288,-0.04,0.32,0.95,1.01,1269.67,33.25,LOOSE_MOUNT_SPEED1
36,4388,-0.09,0.34,1.00,1.06,1645.62,33.25,LOOSE_MOUNT_SPEED1
37,4488,-0.06,0.36,1.03,1.09,1223.54,33.25,LOOSE_MOUNT_SPEED1
38,4588,-0.03,0.43,0.99,1.08,1315.44,33.25,LOOSE_MOUNT_SPEED1
39,4688,-0.08,-0.00,-0.00,0.08,1487.38,33.25,LOOSE_MOUNT_SPEED1
40,4788,-0.09,0.40,1.03,1.10,1152.63,33.25,LOOSE_MOUNT_SPEED1
41,4888,-0.02,0.45,1.01,1.10,1636.29,33.25,LOOSE_MOUNT_SPEED1
42,4988,0.09,0.44,1.03,1.13,1294.21,33.25,LOOSE_MOUNT_SPEED1
43,5088,0.02,0.48,0.98,1.09,1242.97,33.25,LOOSE_MOUNT_SPEED1
44,5188,-0.01,0.41,0.98,1.07,1534.24,33.25,LOOSE_MOUNT_SPEED1
45,5288,0.06,0.45,1.05,1.14,1166.13,33.25,LOOSE_MOUNT_SPEED1
46,5388,0.03,0.55,1.00,1.14,1652.82,33.25,LOOSE_MOUNT_SPEED1
47,5488,-0.04,0.50,1.03,1.15,1374.26,33.25,LOOSE_MOUNT_SPEED1
48,5588,-0.06,0.39,1.00,1.07,1148.60,33.25,LOOSE_MOUNT_SPEED1
49,5688,0.02,0.45,1.06,1.15,1507.47,33.25,LOOSE_MOUNT_SPEED1
50,5788,0.14,0.43,1.05,1.14,1282.68,33.25,LOOSE_MOUNT_SPEED1
51,5888,0.01,-0.00,-0.00,0.01,1360.24,33.25,LOOSE_MOUNT_SPEED1
52,5988,-0.01,0.54,0.93,1.07,1286.06,33.25,LOOSE_MOUNT_SPEED1
53,6088,-0.14,0.29,1.06,1.11,1076.07,33.25,LOOSE_MOUNT_SPEED1
54,6188,-0.02,0.56,1.03,1.18,1757.71,33.25,LOOSE_MOUNT_SPEED1
55,6288,0.00,-0.00,-0.00,0.00,1180.17,33.25,LOOSE_MOUNT_SPEED1
56,6388,-0.05,0.53,0.97,1.11,1360.19,33.25,LOOSE_MOUNT_SPEED1
57,6488,0.01,-0.00,-0.00,0.01,1454.02,33.25,LOOSE_MOUNT_SPEED1
58,6588,-0.01,0.42,1.03,1.11,1112.86,33.25,LOOSE_MOUNT_SPEED1
59,6688,0.01,0.52,1.01,1.14,683.06,33.25,LOOSE_MOUNT_SPEED1
60,6788,0.16,0.50,1.04,1.16,1242.69,33.25,LOOSE_MOUNT_SPEED1
