id,timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
0,790,-0.31,0.53,0.99,1.16,8997.14,47.62,NORMAL_SPEED3
1,888,0.16,0.58,1.08,1.24,8912.49,47.62,NORMAL_SPEED3
2,988,0.07,0.54,1.06,1.19,8943.37,47.62,NORMAL_SPEED3
3,1088,-0.00,0.61,1.09,1.25,8625.26,47.62,NORMAL_SPEED3
4,1188,-0.23,0.54,1.01,1.17,9032.14,47.62,NORMAL_SPEED3
5,1288,0.04,0.64,1.06,1.24,8694.25,47.62,NORMAL_SPEED3
6,1388,0.08,0.49,1.07,1.18,8365.36,47.62,NORMAL_SPEED3
7,1488,0.18,0.58,1.05,1.21,9070.82,47.62,NORMAL_SPEED3
8,1588,0.03,0.53,1.07,1.19,8648.28,47.62,NORMAL_SPEED3
9,1688,-0.08,0.52,1.07,1.19,8611.83,47.62,NORMAL_SPEED3
10,1788,-0.16,0.55,0.99,1.14,8932.23,47.62,NORMAL_SPEED3
11,1888,0.07,0.63,1.05,1.23,9367.10,47.62,NORMAL_SPEED3
12,1988,0.06,0.53,1.04,1.17,9230.26,47.62,NORMAL_SPEED3
13,2088,0.10,0.49,1.05,1.16,8897.80,47.62,NORMAL_SPEED3
14,2188,0.04,0.50,1.03,1.14,9857.19,47.62,NORMAL_SPEED3
15,2288,-0.18,0.53,1.01,1.15,9146.41,47.62,NORMAL_SPEED3
16,2388,-0.00,0.56,1.00,1.14,9816.42,47.62,NORMAL_SPEED3
17,2488,-0.00,0.52,1.00,1.13,10140.19,47.62,NORMAL_SPEED3
18,2588,0.01,0.56,1.10,1.23,9764.64,47.62,NORMAL_SPEED3
19,2688,-0.12,0.57,1.06,1.21,10509.19,47.62,NORMAL_SPEED3
20,2788,0.06,0.63,1.10,1.27,10335.70,47.62,NORMAL_SPEED3
21,2888,0.16,0.50,1.07,1.19,10250.20,47.62,NORMAL_SPEED3
22,2988,0.09,0.55,1.03,1.17,9447.97,47.62,NORMAL_SPEED3
23,3088,-0.10,0.51,0.96,1.10,9751.70,47.62,NORMAL_SPEED3
24,3188,0.16,0.51,1.04,1.17,10446.51,47.62,NORMAL_SPEED3
25,3288,0.09,0.54,1.04,1.17,10362.75,47.62,NORMAL_SPEED3
26,3388,0.12,0.56,1.00,1.15,10032.17,47.62,NORMAL_SPEED3
